1;« ЌѕнЋ «бћѕнѕ ”нм ћѕ« б« нЏгб »н ”—Џе »Ўнм н—ћм Ќ« е–н «бг‘ябе;-1
2;« Ў»нё я«д нЏгб »‘яб ’ЌнЌ ё»б «б ЌѕнЋ »Џѕ«б ЌѕнЋ «’»Ќ “Ё  «”ћб «бѕќжб нЎбЏ ќЎ«;-1
3;« гдм «÷«Ё… ќѕг… «—”«б я‘Ё Ќ”«» «бм «б»—нѕ «б«бя —ждн ж«÷«Ё… ќѕг… «б”Ќ» гд «б’—«Ё «б«бн Џ»— «б»—д«гћ »ѕжд «бЌ«ћ… б»Ў«ё… ’—«Ё «бн;0
4;« гдм «д  ÷нЁжд ќѕг… ЌЁў «бг” Ёнѕнд «б–н дЌжб бег гд «б Ў»нё г« н’н— яб ‘жн «÷нЁ «б«”г ж«б—ёг «—ћж« √д н г «бЌЁў ж«д дѕќб Џбм «бг” Ёнѕ ждЌѕѕ «бг»бџ жд—”б Ён яб г—… дѕќб «б»н«д«  ’Џ»… Џбг« «дд« дЌжб гд «б”Џжѕн… ббЌ”«» жгд Ћг н г  ж“нЏ «бг»«бџ;0
5;« гдм «д н г  ЌѕнЋ «б»—д«гћ »‘яб «Ё÷б «б»—д«гћ Ћённнннб ћѕ«р жг«н‘ џб «б««–« «бд  ёжн ж»нЏбё «џб» «б«жё«  ж« гдм «÷«Ё… гн“…  ”ѕнѕ «б»«ё«  гж»«нб д  «ёб «бёбнб н—ћЏже бд« “н ё»б «б ЌѕнЋ «б«ќн—;0
6;« гдн «дег н÷нЁжд Ёне «”Џ«—°«б’—Ё ж«бЏгб« °«бћд»не Џбн «б’ЁЌе «б—∆н”не бян б«°нЎ—ж «бѕќжб «бнег »Ё Ќ—«бд ;0
7;«Ћд«Ѕ «б Ќжнб бЌ”«» «ќ— «ж Џгб Ќж«бе н г «б«—”«б жЁн дЁ” «бжё   ўе— —”«бе ќЎ√ !! ж«н÷« б«  ’б —”«бе SMS Џдѕ «бг” бг жб« Џдѕ «бг—”б !! жЏдѕ «б«д ё«б гд  Ў»нё б«ќ— ж«бЏжѕе б Ў»нё «бя—нгн дћѕе гЁ жЌ жб« нЎб» ябг… «бг—ж— же–е Ћџ—е Ён √г«д «б Ў»нё ! яб г« ”»ё »”»» «б ЌѕнЋ «б«ќн— —џг «де ”нЅ ћѕ« гд ЌнЋ «б‘яб ж«б ”б”б ! жќѕг… «бЏгб«Ѕ б« н—ѕжд Џбм «б« ’«б;0
8;«Ќ”д  Ў»нё.... Ёне яб «бггн“« ;1
9;«Ќн«д« бг« н ЌѕЋ «б»—д«гћ я«д   ўе— »Џ÷ «б√ЏЎ«б √г« «б¬д Ќ«бн«р гг «“ ћѕ«р;1
10;«ќ —  бег дћг нд. б«дег бг н÷»Ўж« Ён «бдў«г. Џдѕ ”ѕ«ѕ гж»нб. ЁЌ’ «б”бЁе ж Ќѕнѕ »«ё  нгд гж»нб;1
11;«ќ ’«— «”—Џ б«яд б« н г  ЁЏнб »«ё«  нгд гж»«нб гд «б»—д«гћ ж»Џ÷ ≈б« ‘Џ«—«  г«  ж’б‘ —”«бе  «янѕ  г  ”ѕнѕ Ёж« н— жегн бг«–« б«  ’б «б≈‘Џ«—«  —”«бе »«б»—нѕ «б«бя —ждн  г  ”ѕнѕ Ёж —е гЋб «б”«»ё;1
12;«ќ—  ЌѕнЋ «Ќн«д« нЏбё гЏ  ёѕн—д« ббќѕг«  «бг÷«Ё…;1
13;«ќ—  ЌѕнЋ ”н∆ ћѕ«р жб« «н Џгбн…  ”ѕнѕ  дћЌ ябе« Ё‘б;-1
14;«ќ—  ЌѕнЋ е–« »«нќ яб г« «Ќ«жб «бѕќжб нёжб ( жёЁ  я—нгн ћж«б б”жЅ «бЌў) жбг н—÷м «д нЁ Ќ Ќ«жбд« «б ж«’б гЏ «б‘—яе «г—жд« »«бЌ–Ё ж√Џ«ѕ… «б д’н» жбб«”Ё бг нЁ Ќ —ћ«Ѕ ”—Џ… Ќб «бг‘ябе;-1
15;«–« ббнжг г« Ён ќн«— н”гЌ бя »« «” Џ—«÷ жЎ»«Џ… гбЁ pdf бя‘Ё «бЌ”«» Ёе–« ”ќнЁ жЁ«‘б яб е–« «б ЌѕнЋ«  жг« жћѕ г Ќб.;-1
16;«“Ё   ЌѕнЋ ... «б Ў»нё б« нЏгб »Џѕ «б ЌѕнЋ “Ё  ћѕ« бб√”Ё д—ћж «’б«Ќ «бг‘«яб ж ”—нЏ «б Ў»нё «б Ў»нё н Џ–— «бЁ Ќ;-1
17;«” ќѕг  «б Ќжнб ж«б«ќ н«— бб»—д«гћ ћнѕ ћѕ«;1
